cluster_id,niche_name,name_source,num_hashtags,top_5_hashtags,top_20_hashtags
0,Entertainment and Comedy,LLM,46672,"creatorsearchinsights, losangeles, newyork, comedy, motivation","creatorsearchinsights, losangeles, newyork, comedy, motivation, blowthisup, dance, meme, california, disney, texas, florida, funnyvideos, dogsoftiktok, travel, MomsofTikTok, usa_tiktok, Relationship, paratii, mexico"
1,Discoverability & Recommendations,LLM,1,fyp,fyp
2,Entertainment & Virality,LLM,1,foryoupage,foryoupage
3,Entertainment/ Viral Trends,LLM,1,foryou,foryou
4,Internet Sensations,LLM,1,viral,viral
5,Video Editing Software,LLM,1,capcut,capcut
6,Music,LLM,1,music,music
7,Romantic Relationship Advice,LLM,1,Love,Love
8,Current Events,LLM,1,trending,trending
9,Entertainment & Social Media,LLM,1,tiktok,tiktok
10,Indian Fashion Trends,LLM,1,parati,parati
11,American Culture/Politics,LLM,1,usa,usa
12,Entertainment/Comedy,LLM,1,funny,funny
13,Viral Entertainment Trends,LLM,1,fypviral,fypviral
14,Travel/Adventure NYC,LLM,1,nyc,nyc
15,You didnt provide any TikTok hashtags to analyze. Please provide the hashtags youd like me to,LLM,1,fy,fy
16,Entertainment/Pop Culture,LLM,1,viralvideo,viralvideo
18,Emotional Support Content,LLM,1,relatable,relatable
19,Special Effects Makeup,LLM,1,greenscreen,greenscreen
20,Digital Photo Editing,LLM,1,edit,edit
21,Entertainment/ Viral Videos,LLM,1,fypage,fypage
22,Food and Eating,LLM,9,"asmr, Foodie, food, foodtiktok, mukbang","asmr, Foodie, food, foodtiktok, mukbang, asmrsounds, FoodTok, eating, mukbangeatingshow"
23,Viral TikTok challenges.,LLM,1,viraltiktok,viraltiktok
24,Cosplay and Fashion,LLM,1,xyzbca,xyzbca
25,Animals/ Pets,LLM,3,"catsoftiktok, cat, cats","catsoftiktok, cat, cats"
26,Influencer Marketing,LLM,1,foryourpage,foryourpage
27,Travel Exploration,LLM,1,explore,explore
28,Fashion and Style,LLM,1,trend,trend
29,Hair and Beauty,LLM,24,"explorepage, hair, hairtransformation, michigan, hairstyles","explorepage, hair, hairtransformation, michigan, hairstyles, detroit, hairgoals, wiginstall, braidstyles, locstyles, wig, bundles, braidedhairstyles, hairstyling, braiders, blackbraider, dearborn, detroithair, detroitbraider, westland"
